3_PHM_C01_SS_NT_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,14:26:58,PHM C01 simple (NT) NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-2,-40,0.12,0.95,800,348,Separate test set.,40,binary,3_PHM_C01_SS_NT_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
DQN,0.0986,0.1094,0.03,0.035,0.0674,0.0762,0.0539,0.0616,0.0459,0.0527,0.245,0.97,0.6075
PPO,0.5446,0.076,0.69,0.1101,0.5679,0.0783,0.5882,0.0813,0.6074,0.085,0.58,0.31,0.445
REINFORCE,0.8366,0.0705,0.99,0.0211,0.8627,0.0615,0.885,0.0534,0.9057,0.0459,0.2,0.01,0.105

