12_PHM_C01_MS_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,14:39:49,PHM C01 complex multi-variate state NBD-MS,None,0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-1,-40,0.12,0.925,800,348,Separate test set.,40,binary,12_PHM_C01_MS_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5334,0.0783,0.365,0.1435,0.4778,0.0907,0.4453,0.1048,0.4224,0.1158,0.315,0.635,0.475
DQN,0.2333,0.4172,0.015,0.0242,0.0573,0.0933,0.0365,0.0589,0.0277,0.0447,0.03,0.985,0.5075
PPO,0.4877,0.1302,0.35,0.1333,0.4473,0.1328,0.4218,0.1343,0.4027,0.1349,0.34,0.65,0.495
REINFORCE,0.8353,0.0342,0.905,0.0497,0.8479,0.0309,0.8584,0.0302,0.8679,0.0314,0.18,0.095,0.1375

