9_PHM_C06_SS_NT_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,14:35:38,PHM C06 simple (NT) NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C06_0p13.csv,1,-1,-40,0.13,0.95,800,348,Separate test set.,40,binary,9_PHM_C06_SS_NT_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5196,0.0715,0.545,0.1301,0.5224,0.0787,0.5254,0.0865,0.5286,0.0945,0.5,0.455,0.4775
DQN,0.5053,0.014,0.98,0.0258,0.5595,0.0147,0.612,0.0154,0.6667,0.0161,0.96,0.02,0.49
PPO,0.5359,0.0311,0.755,0.0956,0.5685,0.0378,0.5977,0.0448,0.626,0.0523,0.65,0.245,0.4475
REINFORCE,1.0,0.0,0.69,0.0907,0.915,0.0294,0.8577,0.0474,0.8137,0.0601,0.0,0.31,0.155

