10_PHM_C06_SS_NT_10K_LowNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,11:00:20,PHM C06 simple (NT) LBD-SS,0.001,0.05,data\PHM_Tool_Wear_Data_C06_0p13.csv,1,-1,-40,0.13,0.95,800,348,Separate test set.,40,binary,10_PHM_C06_SS_NT_10K_LowNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5265,0.0652,0.655,0.1442,0.5463,0.0714,0.5638,0.0793,0.5806,0.0886,0.585,0.345,0.465
DQN,0.4947,0.014,0.96,0.0459,0.5477,0.0165,0.5992,0.0191,0.6528,0.0222,0.98,0.04,0.51
PPO,0.6157,0.0378,0.675,0.1061,0.6249,0.0454,0.6331,0.0552,0.6411,0.0652,0.42,0.325,0.3725
REINFORCE,0.9902,0.0206,0.945,0.055,0.9802,0.0174,0.9725,0.0218,0.9661,0.0282,0.01,0.055,0.0325

