12_PHM_C01_MS_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,11:03:22,PHM C01 complex multi-variate state NBD-MS,None,0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-1,-40,0.12,0.925,800,348,Separate test set.,40,binary,12_PHM_C01_MS_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4663,0.1331,0.335,0.1226,0.4298,0.1283,0.4057,0.1269,0.3872,0.1261,0.375,0.665,0.52
DQN,0.4987,0.0097,0.985,0.0337,0.5533,0.0114,0.6064,0.0133,0.662,0.0155,0.99,0.015,0.5025
PPO,0.5091,0.13,0.345,0.1039,0.4587,0.111,0.4273,0.1038,0.4044,0.101,0.345,0.655,0.5
REINFORCE,0.8285,0.0725,0.94,0.0699,0.8477,0.0662,0.864,0.0621,0.8791,0.0598,0.2,0.06,0.13

