7_PHM_C04_SS_NT_10K_LowNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
20-Jun-2023,18:18:59,PHM C04 simple (NT) LBD-SS,0.001,0.05,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-40,0.098,0.85,800,348,Separate test set.,40,binary,7_PHM_C04_SS_NT_10K_LowNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5314,0.0578,0.54,0.115,0.5317,0.0656,0.5325,0.0734,0.5335,0.0813,0.47,0.46,0.465
DQN,0.4987,0.0095,0.97,0.0258,0.5524,0.0105,0.6044,0.0117,0.6587,0.0131,0.975,0.03,0.5025
PPO,0.235,0.274,0.05,0.0624,0.1324,0.1574,0.0992,0.1199,0.0815,0.0995,0.125,0.95,0.5375
REINFORCE,0.6981,0.0303,1.0,0.0,0.7428,0.0274,0.7829,0.0244,0.8218,0.021,0.435,0.0,0.2175

