9_PHM_C06_SS_NT_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
20-Jun-2023,18:21:45,PHM C06 simple (NT) NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C06_0p13.csv,1,-1,-40,0.13,0.95,800,348,Separate test set.,40,binary,9_PHM_C06_SS_NT_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4197,0.0943,0.345,0.0926,0.4014,0.0922,0.3882,0.0915,0.3776,0.0914,0.475,0.655,0.565
DQN,0.5013,0.0112,0.98,0.0258,0.5555,0.0125,0.6082,0.0137,0.6633,0.0151,0.975,0.02,0.4975
PPO,0.5096,0.0664,0.645,0.1165,0.5316,0.0731,0.5507,0.0793,0.5687,0.0856,0.615,0.355,0.485
REINFORCE,0.9917,0.0264,0.615,0.0337,0.8832,0.028,0.8122,0.03,0.7589,0.0314,0.005,0.385,0.195

