12_PHM_C01_MS_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
20-Jun-2023,19:09:43,PHM C01 complex multi-variate state NBD-MS,None,0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-1,-40,0.12,0.925,800,348,Separate test set.,40,binary,12_PHM_C01_MS_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5138,0.0511,0.585,0.0973,0.5252,0.0533,0.5352,0.0579,0.5446,0.0638,0.555,0.415,0.485
DQN,0.25,0.3622,0.025,0.0354,0.0856,0.1174,0.0574,0.0798,0.0447,0.0625,0.04,0.975,0.5075
PPO,0.5192,0.0728,0.55,0.1225,0.5237,0.0778,0.5279,0.0838,0.5319,0.0903,0.505,0.45,0.4775
REINFORCE,0.7744,0.0453,0.82,0.0856,0.781,0.0329,0.7871,0.0293,0.793,0.0339,0.245,0.18,0.2125

