13_PHM_C04_MS_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,10:25:11,PHM C04 complex multi-variate state NBD-MS,None,0,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-50,0.098,0.85,800,348,Separate test set.,40,binary,13_PHM_C04_MS_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4566,0.1222,0.18,0.0949,0.336,0.1197,0.2834,0.1165,0.2507,0.1121,0.205,0.82,0.5125
DQN,0.944,0.0939,0.26,0.0316,0.6132,0.0368,0.4811,0.0347,0.4053,0.0349,0.02,0.74,0.38
PPO,0.3755,0.1306,0.135,0.0784,0.2696,0.1163,0.2231,0.1071,0.1946,0.0996,0.205,0.865,0.535
REINFORCE,0.7753,0.1114,0.735,0.1132,0.766,0.1086,0.759,0.1075,0.7532,0.1074,0.215,0.265,0.24

