6_PHM_C04_SS_NT_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,10:21:09,PHM C04 simple (NT) NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-40,0.098,0.95,800,348,Separate test set.,40,binary,6_PHM_C04_SS_NT_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.5199,0.0538,0.655,0.0725,0.5415,0.0528,0.5605,0.0528,0.5783,0.054,0.61,0.345,0.4775
DQN,0.1032,0.091,0.035,0.0337,0.0737,0.0667,0.0602,0.0555,0.052,0.0485,0.275,0.965,0.62
PPO,0.3333,0.2559,0.085,0.0669,0.207,0.1558,0.1601,0.1214,0.134,0.1024,0.155,0.915,0.535
REINFORCE,0.8094,0.0575,0.96,0.0459,0.8351,0.0517,0.857,0.0474,0.8773,0.0443,0.23,0.04,0.135

