3_PHM_C01_SS_NT_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,10:19:31,PHM C01 simple (NT) NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-2,-40,0.12,0.95,800,348,Separate test set.,40,binary,3_PHM_C01_SS_NT_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4865,0.1434,0.33,0.1059,0.4432,0.1324,0.4142,0.1255,0.392,0.1203,0.35,0.67,0.51
DQN,0.1667,0.36,0.015,0.0337,0.0521,0.1125,0.0347,0.0763,0.0269,0.0597,0.02,0.985,0.5025
PPO,0.576,0.0696,0.69,0.1022,0.594,0.0673,0.6098,0.068,0.6249,0.0708,0.515,0.31,0.4125
REINFORCE,0.8363,0.0399,0.985,0.0242,0.8621,0.0347,0.8839,0.0304,0.9041,0.0268,0.195,0.015,0.105

