3_PHM_C01_SS_NT_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,13:19:38,PHM C01 simple (NT) NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C01_0p12.csv,1,-2,-40,0.12,0.95,800,348,Separate test set.,40,binary,3_PHM_C01_SS_NT_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4737,0.0587,0.69,0.1049,0.505,0.0639,0.5334,0.0689,0.561,0.0743,0.765,0.31,0.5375
DQN,0.5039,0.0125,0.98,0.035,0.5581,0.0136,0.6106,0.0149,0.6655,0.0167,0.965,0.02,0.4925
PPO,0.468,0.1208,0.38,0.1457,0.4435,0.1213,0.4271,0.1244,0.4146,0.1282,0.425,0.62,0.5225
REINFORCE,0.9632,0.0419,0.985,0.0337,0.9669,0.0317,0.97,0.025,0.973,0.0214,0.04,0.015,0.0275

