6_PHM_C04_SS_NT_10K_NoNBD_
Date,Time,Environment,Noise,Breakdown_chance,Train_data,env.R1,env.R2,env.R3,Wear threshold,Look-ahead Factor,Episodes,Terminate on,Test_info,Test_cases,Metrics_method,Version
21-Jun-2023,13:21:39,PHM C04 simple (NT) NBD-SS,None,0.0,data\PHM_Tool_Wear_Data_C04_0p098.csv,1,-1,-40,0.098,0.95,800,348,Separate test set.,40,binary,6_PHM_C04_SS_NT_10K_NoNBD_

,Precision,Precision,Recall,Recall,F_Beta_0_5,F_Beta_0_5,F_Beta_0_75,F_Beta_0_75,F_1_Score,F_1_Score,Normal_error,Replace_error,Overall_error
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean
Algorithm,,,,,,,,,,,,,
A2C,0.4874,0.0743,0.52,0.1229,0.4903,0.075,0.494,0.0801,0.4982,0.087,0.55,0.48,0.515
DQN,0.646,0.0157,0.985,0.0242,0.6938,0.0159,0.7373,0.0163,0.7802,0.0169,0.54,0.015,0.2775
PPO,0.4932,0.1016,0.425,0.1161,0.4746,0.1005,0.462,0.1024,0.4524,0.105,0.44,0.575,0.5075
REINFORCE,0.9198,0.058,0.955,0.0438,0.9264,0.0534,0.9318,0.0501,0.9367,0.0475,0.085,0.045,0.065

